timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2016-02-08 13:04:34.448	41702928	start_recording
2016-02-08 13:04:35.296	41703776	False	7	965.0375	526.2802	962.3266	484.2703	25.17035	948.1901	523.1724	950.8168	486.3329	23.6064	0.4272	0.4886	981.8849	529.388	973.8364	482.2078	26.7343	0.6245	0.4746
2016-02-08 13:04:35.341	41703821	False	7	972.3175	532.4197	964.3732	494.1701	25.3211	952.1785	480.8226	951.0927	485.2448	24.1252	0.4279	0.4882	992.4565	584.0169	977.6539	503.0953	26.517	0.6252	0.4748
2016-02-08 13:04:35.375	41703855	False	7	955.6321	561.4458	955.6321	561.4458	25.57905	937.2026	630.224	937.2026	630.224	23.958	0.4284	0.488	974.0615	492.6677	974.0615	492.6677	27.2001	0.6256	0.4752
2016-02-08 13:04:35.408	41703888	False	7	967.2831	608.2175	967.2831	608.2175	25.62345	938.5214	611.7869	938.5214	611.7869	24.0822	0.4287	0.4881	996.0449	604.6482	996.0449	604.6482	27.1647	0.6262	0.4754
2016-02-08 13:04:35.451	41703931	False	7	955.5946	704.8873	961.4314	656.6141	25.6692	916.18	817.5062	927.3365	714.7777	24.292	0.4288	0.4881	995.0092	592.2685	995.5264	598.4504	27.0464	0.6263	0.4757
2016-02-08 13:04:35.485	41703965	False	7	973.1067	562.0065	965.3298	625.0262	26.11435	948.4579	520.5756	934.3879	649.9431	24.4097	0.4292	0.4883	997.7554	603.4373	996.2717	600.1093	27.819	0.6265	0.4759
2016-02-08 13:04:35.518	41703998	False	7	958.7491	546.3647	963.6775	605.1258	26.31005	940.2877	591.0013	935.8889	634.9586	24.8983	0.4293	0.4884	977.2106	501.7282	991.4661	575.293	27.7218	0.6264	0.4759
2016-02-08 13:04:35.561	41704041	False	7	967.836	590.5244	964.5178	601.9927	26.6463	940.576	592.5135	936.8599	626.1553	25.2231	0.4294	0.4882	995.096	588.5353	992.1757	577.8303	28.0695	0.6264	0.4761
2016-02-08 13:04:35.594	41704074	True	7	957.6203	578.676	963.345	597.8517	26.096	935.7568	637.3012	935.7568	637.3012	24.5656	0.4294	0.4885	979.4838	520.0508	989.9943	567.872	27.6264	0.6263	0.4764
2016-02-08 13:04:35.628	41704108	False	4	899.7513	378.0712	899.7513	378.0712	15.17655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	899.7513	378.0712	899.7513	378.0712	30.3531	0.6243	0.475
2016-02-08 13:04:35.672	41704152	False	4	568.5451	233.9523	568.5451	233.9523	15.3601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	568.5451	233.9523	568.5451	233.9523	30.7202	0.6201	0.473
2016-02-08 13:04:35.705	41704185	False	4	552.905	249.4533	560.7151	241.7127	14.97355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	552.905	249.4533	560.7151	241.7127	29.9471	0.6205	0.4732
2016-02-08 13:04:35.739	41704219	False	4	514.8059	179.5687	545.3337	220.9231	16.3521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	514.8059	179.5687	545.3337	220.9231	32.7042	0.6206	0.4721
2016-02-08 13:04:35.818	41704298	False	4	566.2335	233.6791	541.6094	221.8583	21.83715	0.0	0.0	0.0	0.0	13.2537	0.4213	0.4531	566.2335	233.6791	541.6094	221.8583	30.4206	0.621	0.4726
2016-02-08 13:04:35.851	41704331	False	4	532.2673	220.3822	532.2673	220.3822	15.3015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	532.2673	220.3822	532.2673	220.3822	30.603	0.6208	0.4724
2016-02-08 13:04:35.897	41704377	False	4	497.884	358.6469	497.884	358.6469	17.6759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	497.884	358.6469	497.884	358.6469	35.3518	0.6206	0.4738
2016-02-08 13:04:35.929	41704409	False	4	547.8626	246.7715	522.9052	302.6379	15.0946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	547.8626	246.7715	522.9052	302.6379	30.1892	0.6207	0.4717
2016-02-08 13:04:35.964	41704444	False	7	613.3062	3291.7434	553.2094	1303.1473	25.7145	615.683	14071.2021	155.295	3549.209	24.283	0.4252	0.4831	610.9293	-7487.7153	552.4137	-2305.2812	27.146	0.6205	0.4713
